OntologyID,Class,Instance
EN_1000191,application_area,Question Answering
EN_1000191,application_area,QA
EN_1000192,application_area,NER
EN_1000192,application_area,Named-entity recognition
EN_1000193,application_area,Computational Lexicology
EN_1000194,application_area,Computational Morphology
EN_1000195,application_area,Computational Phonology
EN_1000196,application_area,Computational Semantics
EN_1000197,application_area,Computational Syntax
EN_1000198,application_area,Dialectometrics
EN_1000199,application_area,Dialogue Systems
EN_1000201,application_area,Information Extraction
EN_1000202,application_area,Lexical Acquisition
EN_1000203,application_area,Machine Translation
EN_1000204,application_area,Natural Language Generation
EN_1000205,application_area,Natural Language Understanding
EN_1000205,application_area,NLU
EN_1000206,application_area,Multiword Expressions
EN_1000207,application_area,Parsing
EN_1000208,application_area,Part-of-speech tagging
EN_1000208,application_area,POS tagging
EN_1000210,application_area,Semantics
EN_1000211,application_area,Speech Processing
EN_1000212,application_area,Statistical Semantics
EN_1000213,application_area,Text Categorization
EN_1000214,application_area,Textual Entailment and Natural Language Inference
EN_1000215,application_area,Text Summarization
EN_1000216,application_area,Word Sense Disambiguation
EN_1000216,application_area,WSD
EN_1000218,application_area,Image Classification
EN_1000219,application_area,Object Localization
EN_1000220,application_area,Object Detection
EN_1000221,application_area,Segmentation
EN_1000222,application_area,Image Style Transfer
EN_1000223,application_area,Image Colorization
EN_1000224,application_area,Image Reconstruction
EN_1000225,application_area,Image Super-Resolution
EN_1000226,application_area,Image Synthesis
EN_1000228,application_area,Query parsing
EN_1000229,application_area,Query processing
EN_1000230,application_area,Query expansion
EN_1000231,application_area,Query intent classification
EN_1000237,application_area,Robotic Actuation
EN_1000238,application_area,Robotic sensing
EN_1000239,application_area,Robotic manipulation
EN_1000240,application_area,Robotic locomotion
EN_1000241,application_area,Robotic navigation
EN_1000242,application_area,Human-robot interaction
EN_1000244,application_area,Speaker identification
EN_1000245,application_area,Voice user interfaces
EN_1000246,application_area,Speech-to-text processing
EN_1000428,application_area,3D Reconstruction
EN_1000429,application_area,Aspect-based sentiment analysis (ABSA)
EN_1000430,application_area,Bayesian Inference
EN_1000431,application_area,Biomedical Imaging
EN_1000432,application_area,Boundary Detection
EN_1000433,application_area,Camera Localization
EN_1000434,application_area,Data Augmentation
EN_1000435,application_area,Deep Lexical Acquisition
EN_1000436,application_area,Dialogue
EN_1000437,application_area,Edge Detection
EN_1000438,application_area,Entity Linking
EN_1000439,application_area,Face Recognition
EN_1000440,application_area,Graph Clustering
EN_1000441,application_area,Graph Matching
EN_1000442,application_area,Graph Ranking
EN_1000443,application_area,Graph Similarity
EN_1000444,application_area,Human Detection
EN_1000445,application_area,Human Dynamics
EN_1000446,application_area,Image Classification
EN_1000447,application_area,Image Clustering
EN_1000448,application_area,Image Compression
EN_1000449,application_area,Image Deconvolution
EN_1000450,application_area,Image Denoising
EN_1000451,application_area,Image Generation
EN_1000452,application_area,Image Manipulation Detection
EN_1000453,application_area,Image Matching
EN_1000454,application_area,Image Reconstruction
EN_1000455,application_area,Image Registration
EN_1000456,application_area,Image Restoration
EN_1000457,application_area,Image Steganography
EN_1000458,application_area,Image Stitching
EN_1000459,application_area,Image Super-Resolution
EN_1000460,application_area,Imitation Learning
EN_1000461,application_area,Information Extraction
EN_1000462,application_area,Intent Classification
EN_1000463,application_area,Intent Detection
EN_1000464,application_area,Language Acquisition
EN_1000465,application_area,Language Identification
EN_1000466,application_area,Lexical Analysis
EN_1000467,application_area,Lexical Normalization
EN_1000468,application_area,Lung Nodule Detection
EN_1000469,application_area,Morphological Tagging
EN_1000470,application_area,Multiclass classification
EN_1000471,application_area,Natural Language Transduction
EN_1000472,application_area,Nested Edge Detection
EN_1000473,application_area,Node Detection
EN_1000474,application_area,Object Detection
EN_1000475,application_area,Object Localization
EN_1000476,application_area,Object Reconstruction
EN_1000477,application_area,Question Generation
EN_1000478,application_area,Regression
EN_1000479,application_area,Sentiment Analysis
EN_1000480,application_area,Shape Segmentation
EN_1000481,application_area,Speaker Diarization
EN_1000482,application_area,Speaker Identification
EN_1000483,application_area,Speaker Separation
EN_1000484,application_area,Speech Recognition
EN_1000485,application_area,Speech Separation
EN_1000486,application_area,Speech Synthesis
EN_1000487,application_area,Stance Detection
EN_1000488,application_area,Super Resolution
EN_1000489,application_area,Tasks
EN_1000490,application_area,Time Series Classification
EN_1000491,application_area,Tomography
EN_1000492,application_area,Transfer Learning
EN_1000493,application_area,Transfer Reinforcement Learning
EN_1000494,application_area,Video Understanding
EN_1000495,application_area,Visual Question Answering
EN_1000496,application_area,Word Sense Disambiguation
EN_1000096,architectural_element,Convolutional layer
EN_1000097,architectural_element,Pooling layer
EN_1000098,architectural_element,ReLU layer
EN_1000099,architectural_element,Fully connected layer
EN_1000100,architectural_element,Softmax layer
EN_1000101,architectural_element,Hidden layer
EN_1000102,architectural_element,Attention layer
EN_1000107,architectural_element,Softmax
EN_1000108,architectural_element,ReLu
EN_1000109,architectural_element,Sigmoid
EN_1000002,dataset,Stanford Question Answering Dataset
EN_1000002,dataset,SQUAD
EN_1000003,dataset,ImageNet
EN_1000004,dataset,Stanford Natural Language Inference corpus
EN_1000004,dataset,SNLI
EN_1000005,dataset,MultiNLI
EN_1000006,dataset,Simple Wiki
EN_1000007,dataset,IMDB Reviews
EN_1000007,dataset,IMDB Dataset
